Chapter,Total Chapter Size,New Member Class Size,Total Chapter GPA,New Member GPA,Total Service Hours,Average Hours Per Member,Charitable Donations,Annual Report Score,Star Ranking,Chapter Type,Semester,simulated_dates
Sigma Psi Zeta,16,,3.018,2.64,532,33.3,130,88,3,Multicultural Greek Council,F17,9/1/2017
Lambda Theta Alpha,7,,2.855,,121,17.3,355,90,4,Multicultural Greek Council,F17,9/1/2017
Sigma Lambda Gamma,14,,2.628,2.378,380,27.1,250,79,2,Multicultural Greek Council,F17,9/1/2017
Alpha Kappa Alpha,4,,3.793,,122,30.5,0,,,Multicultural Greek Council,F17,9/1/2017
alpha Kappa Delta Phi,22,,2.942,2.101,108,4.9,1186,87,3,Multicultural Greek Council,F17,9/1/2017
Alpha Phi Alpha,19,,2.451,2.785,220,11.6,0,82,3,Multicultural Greek Council,F17,9/1/2017
Chi Upsilon Sigma,12,,2.956,3.09,195,16.3,0,96,4,Multicultural Greek Council,F17,9/1/2017
Delta Kappa Delta,12,,2.949,2.88,140,11.7,120,,,Multicultural Greek Council,F17,9/1/2017
Delta Phi Omega,26,,3.151,3.357,460,17.7,0,82,3,Multicultural Greek Council,F17,9/1/2017
Iota Nu Delta,14,,3.056,2.849,238,17,1069,67,0,Multicultural Greek Council,F17,9/1/2017
Iota Phi Theta,9,,3.192,,277,30.8,350,62,0,Multicultural Greek Council,F17,9/1/2017
Kappa Phi Gamma,26,,3.156,,382,14.7,70,82,3,Multicultural Greek Council,F17,9/1/2017
Lambda Sigma Upsilon,10,,2.752,2.362,163,16.3,1463,77,2,Multicultural Greek Council,F17,9/1/2017
Lambda Theta Phi,14,,2.776,2.68,150,10.7,0,75,2,Multicultural Greek Council,F17,9/1/2017
Lambda Upsilon Lambda,14,,3.067,3.187,306,21.9,278,90,4,Multicultural Greek Council,F17,9/1/2017
Mu Sigma Upsilon,3,,3.081,3.081,0,0,0,,,Multicultural Greek Council,F17,9/1/2017
Nu Alpha Phi,9,,3.146,,98,10.9,200,73,2,Multicultural Greek Council,F17,9/1/2017
Omega Phi Beta,9,,3.34,,192,21.3,30,,,Multicultural Greek Council,F17,9/1/2017
Omega Phi Chi,15,,3.375,,298,19.9,957,93,4,Multicultural Greek Council,F17,9/1/2017
Pi Delta Psi,20,,2.791,2.438,0,0,0,46,0,Multicultural Greek Council,F17,9/1/2017
Sigma Lambda Upsilon,8,,3.17,,107,13.4,25,89,3,Multicultural Greek Council,F17,9/1/2017
Delta Sigma Pi,79,,3.475,3.041,326,4.1,2491,87,3,Professional Fraternity Council,F17,9/1/2017
Mu Beta Psi,25,,3.095,2.558,306,12.2,0,68,0,Professional Fraternity Council,F17,9/1/2017
Phi Alpha Delta,27,,3.528,3.469,186,6.9,0,70,2,Professional Fraternity Council,F17,9/1/2017
Phi Kappa Psi,71,,3.197,2.833,12,0.2,4640,61,0,Interfraternity Council,F17,9/1/2017
Phi Kappa Tau,45,,3.056,3.03,467,10.4,2024,95,4,Interfraternity Council,F17,9/1/2017
Phi Mu Delta,26,,3.257,3.181,325,12.5,350,95,4,Interfraternity Council,F17,9/1/2017
Phi Sigma Kappa,33,,2.967,2.523,412,12.5,390,84,3,Interfraternity Council,F17,9/1/2017
Pi Kappa Alpha,85,,2.955,2.644,2502,29.4,0,67,0,Interfraternity Council,F17,9/1/2017
Pi Kappa Phi,33,,3.155,2.904,0,0,0,72,2,Interfraternity Council,F17,9/1/2017
Sigma Alpha Epsilon,45,,3.001,2.737,252,5.6,0,97,4,Interfraternity Council,F17,9/1/2017
Sigma Alpha Mu,20,,2.983,2.873,5,0.3,0,90,4,Interfraternity Council,F17,9/1/2017
Sigma Beta Rho,17,,3.125,2.73,222,13.1,0,84,3,Interfraternity Council,F17,9/1/2017
Sigma Phi Delta,12,,3.408,,0,0,0,88,3,Interfraternity Council,F17,9/1/2017
Sigma Pi,42,,2.792,2.244,492,11.7,50,63,0,Interfraternity Council,F17,9/1/2017
Tau Epsilon Phi,17,,3.042,2.637,511,30.1,610,39,0,Interfraternity Council,F17,9/1/2017
Tau Kappa Epsilon,49,,2.981,,96,2,0,36,0,Interfraternity Council,F17,9/1/2017
Theta Chi,84,,3.212,2.758,861,10.3,305,75,2,Interfraternity Council,F17,9/1/2017
Theta Delta Chi,86,,2.992,2.755,0,0,0,72,2,Interfraternity Council,F17,9/1/2017
Zeta Beta Tau,42,,3.201,2.566,654,15.6,0,55,0,Interfraternity Council,F17,9/1/2017
Lambda Kappa Sigma,24,,3.296,2.95,162,6.8,344,95,4,Professional Fraternity Council,F17,9/1/2017
Phi Gamma Delta,10,,3.019,,106,10.6,120,79,2,Interfraternity Council,F17,9/1/2017
Kappa Sigma,82,,3.083,2.611,415,5.1,18565,86,3,Interfraternity Council,F17,9/1/2017
Pi Lambda Phi,22,,3.449,3.43,311,14.1,0,93,4,Interfraternity Council,F17,9/1/2017
Delta Upsilon,72,,3.015,2.64,18,0.3,0,95,4,Interfraternity Council,F17,9/1/2017
Kappa Delta Rho,15,,2.93,,16,1.1,0,61,0,Interfraternity Council,F17,9/1/2017
Phi Delta Chi,71,,3.214,2.783,643,9.1,0,81,3,Professional Fraternity Council,F17,9/1/2017
Phi Delta Epsilon,65,,3.626,3.565,640,9.8,6576,93,4,Professional Fraternity Council,F17,9/1/2017
Phi Sigma Pi,37,,3.388,3.449,638,17.2,0,91,4,Professional Fraternity Council,F17,9/1/2017
Theta Tau,51,,3.171,2.651,274,5.4,0,71,2,Professional Fraternity Council,F17,9/1/2017
Alpha Delta Phi,25,,3.114,2.886,326,13,0,50,0,Interfraternity Council,F17,9/1/2017
Alpha Epsilon Pi,54,,3.402,3.491,317,5.9,0,87,3,Interfraternity Council,F17,9/1/2017
Alpha Kappa Lambda,14,,2.858,2.851,104,7.4,0,,,Interfraternity Council,F17,9/1/2017
Alpha Phi Delta,17,,2.77,,140,8.2,5330,77,2,Interfraternity Council,F17,9/1/2017
Phi Chi Theta,61,,3.42,3.352,811,13.3,2740,83,3,Professional Fraternity Council,F17,9/1/2017
Beta Chi Theta,14,,2.893,2.082,0,0,0,31,0,Interfraternity Council,F17,9/1/2017
Chi Phi,52,,3.08,2.967,271,5.2,209,,,Interfraternity Council,F17,9/1/2017
Chi Psi,69,,3.344,3.346,489,7.1,0,94,4,Interfraternity Council,F17,9/1/2017
Delta Lambda Phi,10,,3.207,3.197,35,3.5,150,76,2,Interfraternity Council,F17,9/1/2017
Delta Phi,12,,2.631,2.681,85,7.1,0,72,2,Interfraternity Council,F17,9/1/2017
Delta Sigma Iota,23,,3.078,3.125,330,14.3,30,87,3,Interfraternity Council,F17,9/1/2017
Delta Sigma Phi,15,,2.75,2.32,90,6,100,61,0,Interfraternity Council,F17,9/1/2017
Alpha Sigma Phi,57,,3.16,2.931,369,6.5,0,67,0,Interfraternity Council,F17,9/1/2017
Sigma Lambda Upsilon,7,,3.247,,93.5,13.4,,,3,Multicultural Greek Council,S18,1/1/2018
Sigma Psi Zeta,19,,3.093,2.972,354,18.6,475,,3,Multicultural Greek Council,S18,1/1/2018
Sigma Sigma Rho,12,,2.842,2.457,137.5,11.5,952,,3,Multicultural Greek Council,S18,1/1/2018
Zeta Phi Beta,22,,3.196,3.102,77,3.5,541,,3,Multicultural Greek Council,S18,1/1/2018
Alpha Gamma Delta,119,,3.27,3.137,1081.5,9.1,18358.88,,2,Panhellenic Council,S18,1/1/2018
Alpha Omega Epsilon,59,,3.29,3.239,369.5,6.3,12276.4,,2,Panhellenic Council,S18,1/1/2018
Delta Gamma,129,,3.337,3.229,1636,12.7,38576.14,,3,Panhellenic Council,S18,1/1/2018
Gamma Phi Beta,145,,3.331,3.216,1498,10.3,41644,,3,Panhellenic Council,S18,1/1/2018
Phi Sigma Sigma,148,,3.341,3.235,1579,10.7,76774.03,,4,Panhellenic Council,S18,1/1/2018
Phi Mu,140,,3.445,3.31,1233,8.8,28472,,3,Panhellenic Council,S18,1/1/2018
Phi Sigma Rho,38,,3.206,2.782,672,17.7,6210.7,,3,Panhellenic Council,S18,1/1/2018
Sigma Alpha Epsilon Pi,18,,3.417,2.965,229,12.7,1527.04,,,Panhellenic Council,S18,1/1/2018
Alpha Delta Phi,24,,2.862,1.73,446,18.6,5789,,3,Interfraternity Council,S18,1/1/2018
Sigma Kappa,77,,3.362,3.191,964,12.5,19255.42,,3,Panhellenic Council,S18,1/1/2018
Zeta Tau Alpha,138,,3.238,2.97,1443.5,10.5,32293.23,,3,Panhellenic Council,S18,1/1/2018
Sigma Lambda Gamma,13,,3.205,,,0,,,3,Multicultural Greek Council,S18,1/1/2018
Omega Phi Alpha,89,,3.41,3.492,1468,16.5,25185,,3,Panhellenic Council,S18,1/1/2018
Sigma Lambda Beta,10,,3.139,3.368,265.25,26.5,,,3,Multicultural Greek Council,S18,1/1/2018
alpha Kappa Delta Phi,19,,3.317,,285.5,15,1735,,2,Multicultural Greek Council,S18,1/1/2018
Phi Beta Sigma,10,,2.608,2.75,63,6.3,520,,0,Multicultural Greek Council,S18,1/1/2018
Alpha Kappa Alpha,15,,3.386,3.405,80,5.3,,,3,Multicultural Greek Council,S18,1/1/2018
Alpha Phi Alpha,11,,3.117,,0,0,,,2,Multicultural Greek Council,S18,1/1/2018
